Day,Sunrise,Sunset
01-01,08:38,13:38
01-02,08:38,13:39
01-03,08:38,13:40
01-04,08:38,13:41
01-05,08:38,13:42
01-06,08:37,13:43
01-07,08:37,13:44
01-08,08:37,13:46
01-09,08:36,13:47
01-10,08:36,13:48
01-11,08:35,13:50
01-12,08:34,13:51
01-13,08:34,13:53
01-14,08:33,13:54
01-15,08:32,13:56
01-16,08:32,13:57
01-17,08:31,13:59
01-18,08:30,14:00
01-19,08:29,14:02
01-20,08:28,14:03
01-21,08:27,14:05
01-22,08:26,14:07
01-23,08:25,14:08
01-24,08:23,14:10
01-25,08:22,14:12
01-26,08:21,14:14
01-27,08:20,14:15
01-28,08:18,14:17
01-29,08:17,14:19
01-30,08:16,14:21
01-31,08:14,14:22
02-01,08:13,14:24
02-02,08:11,14:26
02-03,08:10,14:28
02-04,08:08,14:29
02-05,08:06,14:31
02-06,08:05,14:33
02-07,08:03,14:35
02-08,08:01,14:37
02-09,08:00,14:38
02-10,07:58,14:40
02-11,07:56,14:42
02-12,07:54,14:44
02-13,07:53,14:46
02-14,07:51,14:47
02-15,07:49,14:49
02-16,07:47,14:51
02-17,07:45,14:53
02-18,07:43,14:55
02-19,07:41,14:56
02-20,07:39,14:58
02-21,07:37,15:00
02-22,07:35,15:02
02-23,07:33,15:04
02-24,07:31,15:05
02-25,07:29,15:07
02-26,07:27,15:09
02-27,07:25,15:11
02-28,07:23,15:12
02-29,07:21,15:14
03-01,07:19,15:16
03-02,07:17,15:17
03-03,07:14,15:19
03-04,07:12,15:21
03-05,07:10,15:23
03-06,07:08,15:24
03-07,07:06,15:26
03-08,07:04,15:28
03-09,07:01,15:29
03-10,06:59,15:31
03-11,06:57,15:33
03-12,06:55,15:35
03-13,06:52,15:36
03-14,06:50,15:38
03-15,06:48,15:40
03-16,06:46,15:41
03-17,06:44,15:43
03-18,06:41,15:45
03-19,06:39,15:46
03-20,06:37,15:48
03-21,06:35,15:50
03-22,06:32,15:51
03-23,06:30,15:53
03-24,06:28,15:55
03-25,06:26,15:56
03-26,06:23,15:58
03-27,06:21,15:59
03-28,06:19,16:01
03-29,06:17,16:03
03-30,06:14,16:04
03-31,06:12,16:06
04-01,06:10,16:08
04-02,06:08,16:09
04-03,06:05,16:11
04-04,06:03,16:13
04-05,06:01,16:14
04-06,05:59,16:16
04-07,05:57,16:18
04-08,05:54,16:19
04-09,05:52,16:21
04-10,05:50,16:22
04-11,05:48,16:24
04-12,05:46,16:26
04-13,05:44,16:27
04-14,05:41,16:29
04-15,05:39,16:31
04-16,05:37,16:32
04-17,05:35,16:34
04-18,05:33,16:36
04-19,05:31,16:37
04-20,05:29,16:39
04-21,05:27,16:41
04-22,05:25,16:42
04-23,05:23,16:44
04-24,05:21,16:45
04-25,05:19,16:47
04-26,05:17,16:49
04-27,05:15,16:50
04-28,05:13,16:52
04-29,05:11,16:54
04-30,05:09,16:55
05-01,05:08,16:57
05-02,05:06,16:58
05-03,05:04,17:00
05-04,05:02,17:02
05-05,05:00,17:03
05-06,04:59,17:05
05-07,04:57,17:06
05-08,04:55,17:08
05-09,04:54,17:09
05-10,04:52,17:11
05-11,04:50,17:12
05-12,04:49,17:14
05-13,04:47,17:15
05-14,04:46,17:17
05-15,04:44,17:18
05-16,04:43,17:20
05-17,04:42,17:21
05-18,04:40,17:23
05-19,04:39,17:24
05-20,04:38,17:25
05-21,04:36,17:27
05-22,04:35,17:28
05-23,04:34,17:29
05-24,04:33,17:31
05-25,04:32,17:32
05-26,04:31,17:33
05-27,04:30,17:34
05-28,04:29,17:36
05-29,04:28,17:37
05-30,04:27,17:38
05-31,04:26,17:39
06-01,04:25,17:40
06-02,04:25,17:41
06-03,04:24,17:42
06-04,04:23,17:43
06-05,04:23,17:44
06-06,04:22,17:45
06-07,04:22,17:46
06-08,04:21,17:46
06-09,04:21,17:47
06-10,04:21,17:48
06-11,04:20,17:49
06-12,04:20,17:49
06-13,04:20,17:50
06-14,04:20,17:50
06-15,04:20,17:51
06-16,04:20,17:51
06-17,04:20,17:52
06-18,04:20,17:52
06-19,04:20,17:52
06-20,04:20,17:53
06-21,04:20,17:53
06-22,04:20,17:53
06-23,04:21,17:53
06-24,04:21,17:53
06-25,04:21,17:53
06-26,04:22,17:53
06-27,04:22,17:53
06-28,04:23,17:53
06-29,04:23,17:53
06-30,04:24,17:52
07-01,04:25,17:52
07-02,04:25,17:52
07-03,04:26,17:51
07-04,04:27,17:51
07-05,04:28,17:50
07-06,04:29,17:50
07-07,04:30,17:49
07-08,04:30,17:48
07-09,04:31,17:48
07-10,04:32,17:47
07-11,04:33,17:46
07-12,04:35,17:45
07-13,04:36,17:44
07-14,04:37,17:43
07-15,04:38,17:43
07-16,04:39,17:41
07-17,04:40,17:40
07-18,04:42,17:39
07-19,04:43,17:38
07-20,04:44,17:37
07-21,04:45,17:36
07-22,04:47,17:35
07-23,04:48,17:33
07-24,04:49,17:32
07-25,04:51,17:30
07-26,04:52,17:29
07-27,04:54,17:28
07-28,04:55,17:26
07-29,04:56,17:25
07-30,04:58,17:23
07-31,04:59,17:22
08-01,05:01,17:20
08-02,05:02,17:18
08-03,05:04,17:17
08-04,05:05,17:15
08-05,05:07,17:13
08-06,05:08,17:11
08-07,05:10,17:10
08-08,05:11,17:08
08-09,05:13,17:06
08-10,05:14,17:04
08-11,05:16,17:02
08-12,05:18,17:00
08-13,05:19,16:59
08-14,05:21,16:57
08-15,05:22,16:55
08-16,05:24,16:53
08-17,05:25,16:51
08-18,05:27,16:49
08-19,05:28,16:47
08-20,05:30,16:45
08-21,05:32,16:43
08-22,05:33,16:41
08-23,05:35,16:38
08-24,05:36,16:36
08-25,05:38,16:34
08-26,05:39,16:32
08-27,05:41,16:30
08-28,05:42,16:28
08-29,05:44,16:26
08-30,05:46,16:23
08-31,05:47,16:21
09-01,05:49,16:19
09-02,05:50,16:17
09-03,05:52,16:15
09-04,05:53,16:12
09-05,05:55,16:10
09-06,05:56,16:08
09-07,05:58,16:06
09-08,06:00,16:04
09-09,06:01,16:01
09-10,06:03,15:59
09-11,06:04,15:57
09-12,06:06,15:55
09-13,06:07,15:52
09-14,06:09,15:50
09-15,06:11,15:48
09-16,06:12,15:45
09-17,06:14,15:43
09-18,06:15,15:41
09-19,06:17,15:39
09-20,06:18,15:36
09-21,06:20,15:34
09-22,06:22,15:32
09-23,06:23,15:30
09-24,06:25,15:27
09-25,06:26,15:25
09-26,06:28,15:23
09-27,06:29,15:20
09-28,06:31,15:18
09-29,06:33,15:16
09-30,06:34,15:14
10-01,06:36,15:11
10-02,06:37,15:09
10-03,06:39,15:07
10-04,06:41,15:05
10-05,06:42,15:03
10-06,06:44,15:00
10-07,06:46,14:58
10-08,06:47,14:56
10-09,06:49,14:54
10-10,06:50,14:52
10-11,06:52,14:49
10-12,06:54,14:47
10-13,06:55,14:45
10-14,06:57,14:43
10-15,06:59,14:41
10-16,07:00,14:39
10-17,07:02,14:37
10-18,07:04,14:35
10-19,07:05,14:33
10-20,07:07,14:31
10-21,07:09,14:29
10-22,07:11,14:27
10-23,07:12,14:25
10-24,07:14,14:23
10-25,07:16,14:21
10-26,07:17,14:19
10-27,07:19,14:17
10-28,07:21,14:15
10-29,07:23,14:13
10-30,07:24,14:11
10-31,07:26,14:10
11-01,07:28,14:08
11-02,07:29,14:06
11-03,07:31,14:04
11-04,07:33,14:03
11-05,07:35,14:01
11-06,07:36,13:59
11-07,07:38,13:58
11-08,07:40,13:56
11-09,07:42,13:55
11-10,07:43,13:53
11-11,07:45,13:52
11-12,07:47,13:50
11-13,07:48,13:49
11-14,07:50,13:47
11-15,07:52,13:46
11-16,07:53,13:45
11-17,07:55,13:43
11-18,07:57,13:42
11-19,07:58,13:41
11-20,08:00,13:40
11-21,08:02,13:39
11-22,08:03,13:38
11-23,08:05,13:37
11-24,08:06,13:36
11-25,08:08,13:35
11-26,08:09,13:34
11-27,08:11,13:33
11-28,08:12,13:33
11-29,08:14,13:32
11-30,08:15,13:31
12-01,08:17,13:31
12-02,08:18,13:30
12-03,08:19,13:29
12-04,08:21,13:29
12-05,08:22,13:29
12-06,08:23,13:28
12-07,08:24,13:28
12-08,08:25,13:28
12-09,08:26,13:28
12-10,08:28,13:27
12-11,08:29,13:27
12-12,08:29,13:27
12-13,08:30,13:27
12-14,08:31,13:27
12-15,08:32,13:28
12-16,08:33,13:28
12-17,08:34,13:28
12-18,08:34,13:28
12-19,08:35,13:29
12-20,08:36,13:29
12-21,08:36,13:30
12-22,08:37,13:30
12-23,08:37,13:31
12-24,08:37,13:31
12-25,08:38,13:32
12-26,08:38,13:33
12-27,08:38,13:34
12-28,08:38,13:34
12-29,08:38,13:35
12-30,08:38,13:36
12-31,08:38,13:37
