Day,Sunrise,Sunset
01-01,16:53,23:30
01-02,16:53,23:31
01-03,16:53,23:31
01-04,16:53,23:32
01-05,16:53,23:33
01-06,16:53,23:34
01-07,16:53,23:35
01-08,16:53,23:36
01-09,16:53,23:37
01-10,16:53,23:38
01-11,16:53,23:38
01-12,16:53,23:39
01-13,16:52,23:40
01-14,16:52,23:41
01-15,16:52,23:42
01-16,16:52,23:43
01-17,16:51,23:44
01-18,16:51,23:46
01-19,16:50,23:47
01-20,16:50,23:48
01-21,16:49,23:49
01-22,16:49,23:50
01-23,16:48,23:51
01-24,16:48,23:52
01-25,16:47,23:53
01-26,16:47,23:54
01-27,16:46,23:55
01-28,16:45,23:56
01-29,16:44,23:57
01-30,16:44,23:59
01-31,16:43,00:00
02-01,16:42,00:01
02-02,16:41,00:02
02-03,16:40,00:03
02-04,16:39,00:04
02-05,16:38,00:05
02-06,16:38,00:06
02-07,16:37,00:07
02-08,16:36,00:08
02-09,16:35,00:10
02-10,16:34,00:11
02-11,16:32,00:12
02-12,16:31,00:13
02-13,16:30,00:14
02-14,16:29,00:15
02-15,16:28,00:16
02-16,16:27,00:17
02-17,16:26,00:18
02-18,16:24,00:19
02-19,16:23,00:20
02-20,16:22,00:21
02-21,16:21,00:22
02-22,16:19,00:23
02-23,16:18,00:24
02-24,16:17,00:25
02-25,16:16,00:26
02-26,16:14,00:28
02-27,16:13,00:29
02-28,16:11,00:30
02-29,16:10,00:31
03-01,16:09,00:32
03-02,16:07,00:32
03-03,16:06,00:33
03-04,16:05,00:34
03-05,16:03,00:35
03-06,16:02,00:36
03-07,16:00,00:37
03-08,15:59,00:38
03-09,15:57,00:39
03-10,15:56,00:40
03-11,15:54,00:41
03-12,15:53,00:42
03-13,15:51,00:43
03-14,15:50,00:44
03-15,15:48,00:45
03-16,15:47,00:46
03-17,15:45,00:47
03-18,15:44,00:48
03-19,15:42,00:49
03-20,15:41,00:49
03-21,15:39,00:50
03-22,15:38,00:51
03-23,15:36,00:52
03-24,15:35,00:53
03-25,15:33,00:54
03-26,15:32,00:55
03-27,15:30,00:56
03-28,15:29,00:57
03-29,15:27,00:58
03-30,15:26,00:59
03-31,15:24,00:59
04-01,15:23,01:00
04-02,15:21,01:01
04-03,15:20,01:02
04-04,15:19,01:03
04-05,15:17,01:04
04-06,15:16,01:05
04-07,15:14,01:06
04-08,15:13,01:07
04-09,15:11,01:08
04-10,15:10,01:08
04-11,15:08,01:09
04-12,15:07,01:10
04-13,15:06,01:11
04-14,15:04,01:12
04-15,15:03,01:13
